Genus,Specific_epi,rank,Infra_epi,Syn-Genus,Syn_spc_epi,rank,Syn_infra_epi,Syn-Genus,Syn_spc_epi,rank,Syn_infra_epi,Syn-Genus,Syn_spc_epi,rank,Syn_infra_epi
Trifolium,barbigerum,,,,,,,,,,,,,,
Trifolium,ciliolatum,,,,,,,,,,,,,,
Trifolium,depauperatum,var.,amplectens,,,,,,,,,,,,
Trifolium,depauperatum,var.,truncatum,,,,,,,,,,,,
Trifolium,fucatum,,,,,,,,,,,,,,
Trifolium,gracilentum,,,,,,,,,,,,,,
Trifolium,hirtum,,,,,,,,,,,,,,
Trifolium,macraei,,,,,,,,,,,,,,
Trifolium,microcephalum,,,,,,,,,,,,,,
Trifolium,microdon,,,,,,,,,,,,,,
Trifolium,palmeri,,,,,,,,,,,,,,
Trifolium,repens,,,,,,,,,,,,,,
Trifolium,variegatum,var.,major,,,,,,,,,,,,
Trifolium,willdenovii,,,,,,,,,,,,,,
Vicia,americana,,,,,,,,,,,,,,
Vicia,benghalensis,,,,,,,,,,,,,,
Vicia,hassei,,,,,,,,,,,,,,
Vicia,ludoviciana,ssp.,ludoviciana,,,,,,,,,,,,
Vicia,sativa,ssp.,nigra,,,,,,,,,,,,
Vicia,sativa,ssp.,sativa,,,,,,,,,,,,
Vicia,villosa,,,,,,,,,,,,,,
Quercus,agrifolia,var.,agrifolia,,,,,,,,,,,,
Quercus,chrysolepis,,,,,,,,,,,,,,
Quercus,douglasii,,,,,,,,,,,,,,
Quercus,engelmannii,,,,,,,,,,,,,,
Quercus,kelloggii,,,,,,,,,,,,,,
Quercus,lobata,,,,,,,,,,,,,,
Quercus,×macdonaldii,,,,,,,,,,,,,,
Quercus,pacifica,,,,,,,,,,,,,,
Quercus,parvula,var.,parvula,,,,,,,,,,,,
Quercus,tomentella,,,,,,,,,,,,,,
Frankenia,salina,,,,,,,,,,,,,,
Garrya,veatchii,,,,,,,,,,,,,,
Zeltnera,davyi,,,Centaurium,davyi,,,,,,,,,,
Zeltnera,venusta,,,Centaurium,venustum,,,,,,,,,,
California,macrophylla,,,Eriodium,macrophyllum,,,,,,,,,,
Erodium,botrys,,,,,,,,,,,,,,
Erodium,brachycarpum,,,,,,,,,,,,,,
Erodium,cicutarium,,,,,,,,,,,,,,
Erodium,moschatum,,,,,,,,,,,,,,
Erodium,texanum,,,,,,,,,,,,,,
Geranium,carolinianum,,,,,,,,,,,,,,
Geranium,dissectum,,,,,,,,,,,,,,
Geranium,molle,,,,,,,,,,,,,,
Pelargonium,×hortorum,,,,,,,,,,,,,,
Pelargonium,peltatum,,,,,,,,,,,,,,
Ribes,malvaceum,var.,malvaceum,,,,,,,,,,,,
Ribes,viburnifolium,,,,,,,,,,,,,,
Ribes,thacherianum,,,,,,,,,,,,,,
Juglans,californica,,,,,,,,,,,,,,
Juglans,regia,,,,,,,,,,,,,,
Clinopodium,douglasii,,,Satureja,douglasii,,,,,,,,,,
Lamium,amplexicaule,,,,,,,,,,,,,,
Lepechinia,fragrans,,,,,,,,,,,,,,
Marrubium,vulgare,,,,,,,,,,,,,,
Mentha,aquatica,,,,,,,,,,,,,,
Mentha,spicata,,,,,,,,,,,,,,
Nepeta,cataria,,,,,,,,,,,,,,
Salvia,apiana,,,,,,,,,,,,,,
Salvia,brandegeei,,,,,,,,,,,,,,
Salvia,columbariae,,,,,,,,,,,,,,
Salvia,leucophylla,,,,,,,,,,,,,,
Salvia,mellifera,,,,,,,,,,,,,,
Scutellaria,tuberosa,,,,,,,,,,,,,,
Stachys,rigida,var.,rigida,Stachys,ajugoides,var.,rigida,,,,,,,,
Stachys,bullata,,,,,,,,,,,,,,
Trichostema,lanceolatum,,,,,,,,,,,,,,
Hesperolinon,micranthum,,,,,,,,,,,,,,
Mentzelia,affinis,,,,,,,,,,,,,,
Mentzelia,micrantha,,,,,,,,,,,,,,
Ammannia,robusta,,,,,,,,,,,,,,
Lythrum,californicum,,,,,,,,,,,,,,
Lythrum,hyssopifolia,,,,,,,,,,,,,,
Alcea,rosea,,,,,,,,,,,,,,
Eremalche,exilis,,,,,,,,,,,,,,
Malva,assurgentiflora,,,Lavatera,assurgentiflora,ssp.,assurgentiflora,Lavatera,assurgentiflora,ssp.,glabra,,,,
Malacothamnus,clementinus,,,,,,,,,,,,,,
Malacothamnus,fasciculatus,var.,catalinensis,,,,,,,,,,,,
Malacothamnus,fasciculatus,var.,nesioticus,,,,,,,,,,,,
Malva,pseudolavatera,,,,,,,,,,,,,,
Malva,nicaeensis,,,,,,,,,,,,,,
Malva,parviflora,,,,,,,,,,,,,,
Malvella,leprosa,,,,,,,,,,,,,,
Sidalcea,malviflora,ssp.,malviflora,,,,,,,,,,,,
Calandrinia,breweri,,,,,,,,,,,,,,
Calandrinia,menziesii,,,Calandrinia,ciliata,,,,,,,,,,
Cistanthe,maritima,,,Calandrinia,maritima,,,,,,,,,,
Claytonia,parviflora,ssp.,parviflora,,,,,,,,,,,,
Claytonia,perfoliata,ssp.,mexicana,,,,,,,,,,,,
Claytonia,perfoliata,ssp.,perfoliata,,,,,,,,,,,,
Montia,fontana,,,,,,,,,,,,,,
Ficus,carica,,,,,,,,,,,,,,
Lysimachia,arvensis,,,Anagallis,arvensis,,,,,,,,,,
Lysimachia,minima,,,Anagallis,minima,,,,,,,,,,
Eucalyptus,camaldulensis,,,,,,,,,,,,,,
Eucalyptus,cladocalyx,,,,,,,,,,,,,,
Eucalyptus,globulus,,,,,,,,,,,,,,
Eucalyptus,polyanthemos,,,,,,,,,,,,,,
Eucalyptus,sideroxylon,,,,,,,,,,,,,,
Eucalyptus,tereticornis,,,,,,,,,,,,,,
Abronia,latifolia,,,,,,,,,,,,,,
Abronia,maritima,,,,,,,,,,,,,,
Abronia,umbellata,,,,,,,,,,,,,,
Mirabilis,laevis,var.,crassifolia,Mirabilis,californica,,,,,,,,,,
Olea,europaea,,,,,,,,,,,,,,
Camissonia,strigulosa,,,,,,,,,,,,,,
Camissoniopsis,cheiranthifolia,ssp.,cheiranthifolia,Camissonia,cheiranthifolia,ssp.,cheiranthifolia,,,,,,,,
Camissoniopsis,cheiranthifolia,ssp.,suffruticosa,Camissonia,cheiranthifolia,ssp.,suffruticosa,,,,,,,,
Camissoniopsis,guadalupensis,ssp.,clementina,Camissonia,guadalupensis,ssp.,clementina,,,,,,,,
Camissoniopsis,hirtella,,,Camissonia,hirtella,,,,,,,,,,
Camissoniopsis,ignota,,,Camissonia,ignota,,,,,,,,,,
Camissoniopsis,intermedia,,,Camissonia,intermedia,,,,,,,,,,
Camissoniopsis,micrantha,,,Camissonia,micrantha,,,,,,,,,,
Camissoniopsis,robusta,,,Camissonia,robusta,,,,,,,,,,
Clarkia,davyi,,,,,,,,,,,,,,
Clarkia,epilobioides,,,,,,,,,,,,,,
Clarkia,prostrata,,,,,,,,,,,,,,
Clarkia,purpurea,ssp.,quadrivulnera,,,,,,,,,,,,
Clarkia,unguiculata,,,,,,,,,,,,,,
Epilobium,brachycarpum,,,,,,,,,,,,,,
Epilobium,canum,ssp.,angustifolium,,,,,,,,,,,,
Epilobium,canum,ssp.,canum,,,,,,,,,,,,
Epilobium,ciliatum,ssp.,ciliatum,,,,,,,,,,,,
Eulobus,californicus,,,Camissonia,californica,,,,,,,,,,
Ludwigia,peploides,ssp.,peploides,,,,,,,,,,,,
Oenothera,xenogaura,,,,,,,,,,,,,,
Oenothera,sinuosa,,,Gaura,sinuata,,,,,,,,,,
Oenothera,elata,ssp.,hirsutissima,,,,,,,,,,,,
Castilleja,affinis,ssp.,affinis,,,,,,,,,,,,
Castilleja,attenuata,,,,,,,,,,,,,,
Castilleja,densiflora,,,,,,,,,,,,,,
Castilleja,exserta,,,,,,,,,,,,,,
Castilleja,foliolosa,,,,,,,,,,,,,,
Castilleja,grisea,,,,,,,,,,,,,,
Castilleja,hololeuca,,,,,,,,,,,,,,
Castilleja,mollis,,,,,,,,,,,,,,
Kopsiopsis,strobilacea,,,Boschniakia,strobilacea,,,,,,,,,,
Orobanche,bulbosa,,,,,,,,,,,,,,
Orobanche,californica,ssp.,grandis,,,,,,,,,,,,
Orobanche,fasciculata,,,,,,,,,,,,,,
Orobanche,parishii,ssp.,brachyloba,,,,,,,,,,,,
Orobanche,uniflora,,,,,,,,,,,,,,
Oxalis,articulata,ssp.,rubra,Oxalis,rubra,,,,,,,,,,
Oxalis,californica,,,Oxalis,albicans,ssp.,californica,,,,,,,,
Oxalis,corniculata,,,,,,,,,,,,,,
Oxalis,pes-caprae,,,,,,,,,,,,,,
Dendromecon,harfordii,,,,,,,,,,,,,,
Ehrendorferia,ochroleuca,,,,,,,,,,,,,,
Eschscholzia,californica,,,,,,,,,,,,,,
Eschscholzia,ramosa,,,,,,,,,,,,,,
Meconella,denticulata,,,,,,,,,,,,,,
Papaver,californicum,,,,,,,,,,,,,,
Papaver,heterophyllum,,,Stylomecon,heterophylla,,,,,,,,,,
Papaver,somniferum,,,,,,,,,,,,,,
Platystemon,californicus,,,,,,,,,,,,,,
Romneya,coulteri,,,,,,,,,,,,,,
Diplacus,aurantiacus,,,Mimulus,aurantiacus,var.,aurantiacus,,,,,,,,
Diplacus,parviflorus,,,Mimulus,aurantiacus,var.,parviflorus,,,,,,,,
Diplacus,longiflorus,,,Mimulus,aurantiacus,var.,pubescens,,,,,,,,
Diplacus,brevipes,,,Mimulus,brevipes,,,,,,,,,,
Diplacus,puniceus,,,Mimulus,aurantiacus,var.,puniceus,,,,,,,,
Erythranthe,cardinalis,,,Mimulus,cardinalis,,,,,,,,,,
Erythranthe,floribundus,,,Mimulus,floribundus,,,,,,,,,,
Erythranthe,guttatus,,,Mimulus,guttatus,,,,,,,,,,
Diplacus,brandegeei,,,Mimulus,latifolius,,,,,,,,,,
Diplacus,traskiae,,,Mimulus,traskiae,,,,,,,,,,
Pittosporum,undulatum,,,,,,,,,,,,,,
Antirrhinum,kelloggii,,,,,,,,,,,,,,
Antirrhinum,multiflorum,,,,,,,,,,,,,,
Antirrhinum,nuttallianum,ssp.,subsessile,,,,,,,,,,,,
Callitriche,marginata,,,,,,,,,,,,,,
Collinsia,heterophylla,var.,heterophylla,Collinsia,heterophylla,,,,,,,,,,
Gambelia,speciosa,,,Galvezia,speciosa,,,,,,,,,,
Keckiella,cordifolia,,,,,,,,,,,,,,
Kickxia,elatine,,,,,,,,,,,,,,
Linaria,bipartita,,,,,,,,,,,,,,
Nuttallanthus,texanus,,,Linaria,canadensis,,,,,,,,,,
Veronica,anagallis-aquatica,,,,,,,,,,,,,,
Plantago,coronopus,,,,,,,,,,,,,,
Plantago,elongata,,,,,,,,,,,,,,
Plantago,erecta,,,,,,,,,,,,,,
Plantago,lanceolata,,,,,,,,,,,,,,
Plantago,major,,,,,,,,,,,,,,
Plantago,maritima,,,,,,,,,,,,,,
Plantago,ovata,var.,insularis,,,,,,,,,,,,
Plantago,subnuda,,,,,,,,,,,,,,
Platanus,racemosa,,,,,,,,,,,,,,
Armeria,maritima,ssp.,californica,,,,,,,,,,,,
Limonium,californicum,,,,,,,,,,,,,,
Limonium,perezii,,,,,,,,,,,,,,
Limonium,sinuatum,,,,,,,,,,,,,,
Allophyllum,glutinosum,,,,,,,,,,,,,,
Eriastrum,filifolium,,,,,,,,,,,,,,
Gilia,achilleifolia,ssp.,multicaulis,,,,,,,,,,,,
Gilia,angelensis,,,,,,,,,,,,,,
Gilia,capitata,ssp.,abrotanifolia,,,,,,,,,,,,
Gilia,clivorum,,,,,,,,,,,,,,
Gilia,nevinii,,,,,,,,,,,,,,
Gilia,tenuiflora,ssp.,hoffmannii,,,,,,,,,,,,
Leptosiphon,bicolor,,,Linanthus,bicolor,,,,,,,,,,
Leptosiphon,parviflorus,,,Linanthus,parviflorus,,,,,,,,,,
Leptosiphon,pygmaeus,ssp.,pygmaeus,Linanthus,pygmaeus,ssp.,pygmaeus,,,,,,,,
Linanthus,dianthiflorus,,,,,,,,,,,,,,
Navarretia,atractyloides,,,,,,,,,,,,,,
Navarretia,hamata,ssp.,leptantha,,,,,,,,,,,,
Polygala,californica,,,,,,,,,,,,,,
Chorizanthe,staticoides,,,,,,,,,,,,,,
Chorizanthe,wheeleri,,,,,,,,,,,,,,
Eriogonum,arborescens,,,,,,,,,,,,,,
Eriogonum,cinereum,,,,,,,,,,,,,,
Eriogonum,fasciculatum,var.,fasciculatum,,,,,,,,,,,,
Eriogonum,fasciculatum,var.,polifolium,,,,,,,,,,,,
Eriogonum,giganteum,var.,compactum,,,,,,,,,,,,
Eriogonum,giganteum,var.,formosum,,,,,,,,,,,,
Eriogonum,giganteum,var.,giganteum,,,,,,,,,,,,
Eriogonum,grande,var.,grande,,,,,,,,,,,,
Eriogonum,grande,var.,rubescens,,,,,,,,,,,,
Eriogonum,grande,var.,timorum,,,,,,,,,,,,
Lastarriaea,coriacea,,,,,,,,,,,,,,
Persicaria,amphibia,,,Polygonum,amphibium,var.,emersum,,,,,,,,
Persicaria,lapathifolia,,,Polygonum,lapathifolium,,,,,,,,,,
Polygonum,argyrocoleon,,,,,,,,,,,,,,
Polygonum,aviculare,ssp.,depressum,Polygonum,arenastrum,,,,,,,,,,
Pterostegia,drymarioides,,,,,,,,,,,,,,
Rumex,acetosella,,,,,,,,,,,,,,
Rumex,conglomeratus,,,,,,,,,,,,,,
Rumex,crispus,,,,,,,,,,,,,,
Rumex,fueginus,,,Rumex,maritimus,,,,,,,,,,
Rumex,obtusifolius,,,,,,,,,,,,,,
Rumex,pulcher,,,,,,,,,,,,,,
Rumex,salicifolius,,,,,,,,,,,,,,
Portulaca,oleracea,,,,,,,,,,,,,,
Primula,clevelandii,ssp.,insularis,Dodecatheon,clevelandii,ssp.,insulare,,,,,,,,
Clematis,lasiantha,,,,,,,,,,,,,,
Clematis,ligusticifolia,,,,,,,,,,,,,,
Clematis,pauciflora,,,,,,,,,,,,,,
Delphinium,parryi,ssp.,maritimum,,,,,,,,,,,,
Delphinium,parryi,ssp.,parryi,,,,,,,,,,,,
Delphinium,variegatum,ssp.,kinkiense,,,,,,,,,,,,
Delphinium,variegatum,ssp.,thornei,,,,,,,,,,,,
Ranunculus,californicus,,,,,,,,,,,,,,
Ranunculus,hebecarpus,,,,,,,,,,,,,,
Oligomeris,linifolia,,,,,,,,,,,,,,
Reseda,odorata,,,,,,,,,,,,,,
Ceanothus,arboreus,,,,,,,,,,,,,,
Ceanothus,megacarpus,var.,insularis,Ceanothus,megacarpus,ssp.,insularis,,,,,,,,
Ceanothus,megacarpus,var.,megacarpus,Ceanothus,megacarpus,ssp.,megacarpus,,,,,,,,
Frangula,californica,ssp.,californica,Rhamnus,californica,ssp.,californica,,,,,,,,
Rhamnus,pirifolia,,,,,,,,,,,,,,
Adenostoma,fasciculatum,var.,fasciculatum,,,,,,,,,,,,
Adenostoma,fasciculatum,var.,prostratum,,,,,,,,,,,,
Aphanes,occidentalis,,,,,,,,,,,,,,
Cercocarpus,betuloides,var.,betuloides,Cercocarpus,betuloides,ssp.,betuloides,,,,,,,,
Cercocarpus,betuloides,var.,blancheae,Cercocarpus,betuloides,ssp.,blanceae,,,,,,,,
Cercocarpus,traskiae,,,,,,,,,,,,,,
Cotoneaster,pannosus,,,,,,,,,,,,,,
Drymocallis,glandulosa,,,Potentilla,glandulosa,,,,,,,,,,
Heteromeles,arbutifolia,,,,,,,,,,,,,,
Holodiscus,discolor,,,,,,,,,,,,,,
Lyonothamnus,floribundus,ssp.,aspleniifolius,,,,,,,,,,,,
Lyonothamnus,floribundus,ssp.,subsp.,,,,,,,,,,,,
Potentilla,anserina,ssp.,pacifica,,,,,,,,,,,,
Poterium,sanguisorba,,,Sanguisorba,minor,ssp.,muricata,,,,,,,,
Prunus,ilicifolia,ssp.,lyonii,,,,,,,,,,,,
Rosa,californica,,,,,,,,,,,,,,
Rubus,ursinus,,,,,,,,,,,,,,
Galium,angustifolium,ssp.,foliosum,,,,,,,,,,,,
Galium,angustifolium,ssp.,angustifolium,,,,,,,,,,,,
Galium,aparine,,,,,,,,,,,,,,
Galium,buxifolium,,,,,,,,,,,,,,
Galium,californicum,ssp.,flaccidum,,,,,,,,,,,,
Galium,californicum,ssp.,miguelense,,,,,,,,,,,,
Galium,catalinense,ssp.,acrispum,,,,,,,,,,,,
Galium,catalinense,ssp.,catalinense,,,,,,,,,,,,
Galium,nuttallii,ssp.,insulare,,,,,,,,,,,,
Galium,parisiense,,,,,,,,,,,,,,
Galium,porrigens,var.,porrigens,,,,,,,,,,,,
Ruta,chalepensis,,,,,,,,,,,,,,
Populus,fremontii,ssp.,fremontii,,,,,,,,,,,,
Populus,trichocarpa,,,Populus,balsamifera,ssp.,trichocarpa,,,,,,,,
Salix,exigua,,,Salix,hindsiana,,,,,,,,,,
Salix,gooddingii,,,,,,,,,,,,,,
Salix,laevigata,,,,,,,,,,,,,,
Salix,lasiandra,var.,lasiandra,Salix,lucida,ssp.,lasiandra,,,,,,,,
Salix,lasiolepis,,,,,,,,,,,,,,
Acer,macrophyllum,,,,,,,,,,,,,,
Heuchera,maxima,,,,,,,,,,,,,,
Jepsonia,malvifolia,,,,,,,,,,,,,,
Lithophragma,affine,,,,,,,,,,,,,,
Lithophragma,cymbalaria,,,,,,,,,,,,,,
Lithophragma,maximum,,,,,,,,,,,,,,
Micranthes,californica,,,,,,,,,,,,,,
Myoporum,laetum,,,,,,,,,,,,,,
Scrophularia,californica,,,,,,,,,,,,,,
Scrophularia,villosa,,,,,,,,,,,,,,
Verbascum,thapsus,,,,,,,,,,,,,,
Datura,wrightii,,,,,,,,,,,,,,
Lycium,brevipes,,,,,,,,,,,,,,
Lycium,californicum,,,,,,,,,,,,,,
Lycium,fremontii,,,,,,,,,,,,,,
Lycium,verrucosum,,,,,,,,,,,,,,
Lycopersicum,esculentum,,,,,,,,,,,,,,
Nicotiana,clevelandii,,,,,,,,,,,,,,
Nicotiana,glauca,,,,,,,,,,,,,,
Nicotiana,quadrivalvis,,,,,,,,,,,,,,
Calibrachoa,parviflora,,,Petunia,parviflora,,,,,,,,,,
Solanum,americanum,,,,,,,,,,,,,,
Solanum,douglasii,,,,,,,,,,,,,,
Solanum,elaeagnifolium,,,,,,,,,,,,,,
Solanum,wallacei,,,,,,,,,,,,,,
Tamarix,aphylla,,,,,,,,,,,,,,
Tamarix,chinensis,,,,,,,,,,,,,,
Tamarix,parviflora,,,,,,,,,,,,,,
Tamarix,ramosissima,,,,,,,,,,,,,,
Samolus,parviflorus,,,,,,,,,,,,,,
Tropaeolum,majus,,,,,,,,,,,,,,
Ulmus,xhollandica,,,,,,,,,,,,,,
Hesperocnide,tenella,,,,,,,,,,,,,,
Parietaria,hespera,,,,,,,,,,,,,,
Soleirolia,soleirolii,,,,,,,,,,,,,,
Urtica,dioica,ssp.,holosericea,,,,,,,,,,,,
Urtica,urens,,,,,,,,,,,,,,
Centranthus,ruber,,,,,,,,,,,,,,
Plectritis,ciliosa,,,,,,,,,,,,,,
Phyla,nodiflora,,,,,,,,,,,,,,
Verbena,bracteata,,,,,,,,,,,,,,
Verbena,lasiostachys,var.,lasiostachys,,,,,,,,,,,,
Verbena,lasiostachys,var.,scabrida,,,,,,,,,,,,
Viola,pedunculata,,,,,,,,,,,,,,
Vitis,girdiana,,,,,,,,,,,,,,
Tribulus,terrestris,,,,,,,,,,,,,,
